id,name,image,infopic,role,picture_file_name,picture_content_type,picture_file_size,picture_updated_at,created_at,updated_at
76,Anillo,https://bitacoradelmotoneto.files.wordpress.com/2017/03/joyas_manu-20160807_212512.jpg,Detalle Piedra,fotosJoyas,,,,,2017-03-30 17:18:22.662058,2017-03-30 17:18:22.662058
77,Collar,https://bitacoradelmotoneto.files.wordpress.com/2017/03/joyas_manu-20160807_213407.jpg,Fondo Blanco,fotosJoyas,,,,,2017-03-30 17:18:44.203373,2017-03-30 17:18:44.203373
78,Areta,https://bitacoradelmotoneto.files.wordpress.com/2017/03/joyas_manu-20160807_214003.jpg,Fondo Blanco,fotosJoyas,,,,,2017-03-30 17:19:08.978486,2017-03-30 17:19:08.978486
79,Collar,https://bitacoradelmotoneto.files.wordpress.com/2017/03/joyas_manu-20160807_214227.jpg,Detalle Figura,fotosJoyas,,,,,2017-03-30 17:19:29.425224,2017-03-30 17:19:29.425224
80,Anillo,https://bitacoradelmotoneto.files.wordpress.com/2017/03/macro-20130729_140620.jpg,Fondo Blanco,fotosJoyas,,,,,2017-03-30 17:19:51.630982,2017-03-30 17:19:51.630982
81,Anillo,https://bitacoradelmotoneto.files.wordpress.com/2017/03/macro-20130729_144917.jpg,Fondo Blanco,fotosJoyas,,,,,2017-03-30 17:20:16.597951,2017-03-30 17:20:16.597951
82,Areta,https://bitacoradelmotoneto.files.wordpress.com/2017/03/macro-20130729_145657.jpg,Detalle,fotosJoyas,,,,,2017-03-30 17:20:38.629862,2017-03-30 17:20:38.629862
83,Aretas,https://bitacoradelmotoneto.files.wordpress.com/2017/03/macro-20130729_150019.jpg,Foto conjunto,fotosJoyas,,,,,2017-03-30 17:21:00.366266,2017-03-30 17:21:00.366266
84,Hembra,https://bitacoradelmotoneto.files.wordpress.com/2017/03/macro-20130627_163323_01.jpg,Detalle,fotosComp,,,,,2017-03-30 17:28:00.985841,2017-03-30 17:28:39.598307
85,Hebilla,https://bitacoradelmotoneto.files.wordpress.com/2017/03/macro-20130627_155901ph_01.jpg,Detalle,fotosComp,,,,,2017-03-30 17:29:05.898541,2017-03-30 17:29:05.898541
86,Gancho,https://bitacoradelmotoneto.files.wordpress.com/2017/03/macro-20130628_145122_01.jpg,Detalle Rosca,fotosComp,,,,,2017-03-30 17:29:27.469623,2017-03-30 17:29:27.469623
87,Pinzas Eléctricas,https://bitacoradelmotoneto.files.wordpress.com/2017/03/macro-20130628_151132_01.jpg,Vista general,fotosComp,,,,,2017-03-30 17:29:59.904425,2017-03-30 17:29:59.904425
88,Botón,https://bitacoradelmotoneto.files.wordpress.com/2017/03/macro-20130703_113601ph_1_01.jpg,Vista frontal,fotosComp,,,,,2017-03-30 17:30:28.456199,2017-03-30 17:30:28.456199
